node_id,latitude,longitude,junction_type,source
33389255,5.9730524,80.3619721,AA-Other,AA
1233269778,5.9811153,80.340288,AA-Other,AA
11542234727,5.9654496,80.3794433,AA-Other,AA
33389341,5.9428884,80.5683876,AA-Other,AA
250131773,5.9452219,80.5654173,AA-Other,AA
33389417,5.9282624,80.587898,AA-Other,AA
13709350352,5.9281692,80.5892188,AA-Other,AA
33389466,5.9845588,80.7248831,AA-Other,AA
1750306782,5.9994592,80.7409722,AA-Other,AA
250131591,5.9645506,80.6945462,AA-Other,AA
35436490,7.2657717,80.592541,AA-Other,AA
258029156,7.2641242,80.5929415,AA-AA,AA
7094700078,7.2658191,80.5923849,AA-Other,AA
44265232,6.7283078,81.1028568,AA-Other,AA
2610876638,6.5186424,81.1270256,AA-Other,AA
44265234,6.7320733,81.1019539,AA-AA,AA
13739751298,6.7320625,81.1018879,AA-Other,AA
1135398600,6.7328536,81.1069157,AA-Other,AA
44265239,6.7352857,81.0994513,AA-Other,AA
603240642,6.7316582,81.0998053,AA-AA,AA
6658588595,6.8730161,81.0491151,AA-Other,AA
44534497,6.0327543,80.2174846,AA-Other,AA
138713209,6.032452,80.2173589,AA-Other,AA
44534546,6.0329619,80.2176646,AA-Other,AA
47822231,6.0373485,80.228239,AA-Other,AA
8703211017,6.0341042,80.2352522,AA-Other,AA
47824936,6.0375697,80.2272571,AA-Other,AA
49364006,6.8742941,81.0467913,AA-Other,AA
49364356,6.8734775,81.031248,AA-AA,AA
2145042656,6.8992542,81.0580984,AA-Other,AA
49368092,6.8940378,80.87,AA-Other,AA
2078611991,6.9058027,80.9097611,AA-Other,AA
3682574805,6.9168609,80.8313045,AA-Other,AA
49368243,6.9062962,80.9140507,AA-Other,AA
1147075948,6.9370897,80.9909664,AA-Other,AA
2026114937,6.9039401,80.9125742,AA-Other,AA
49371992,6.9769448,80.7622554,AA-Other,AA
77682693,6.9731994,80.7654223,AA-Other,AA
3584750699,6.9791415,80.7583683,AA-Other,AA
49378902,7.1343961,80.5978194,AA-Other,AA
3217407684,7.1322639,80.5885919,AA-Other,AA
1834922625,7.0968005,80.6458746,AA-Other,AA
50366409,7.1465373,80.0970024,AA-Other,AA
617823296,7.1685206,80.1241296,AA-Other,AA
324965926,7.1439008,80.0955978,AA-Other,AA
324965995,7.1438908,80.0956693,AA-Other,AA
50415021,6.7250599,79.9065741,AA-Other,AA
665685894,6.7264146,79.9054242,AA-Other,AA
50415165,6.6291784,79.9431006,AA-Other,AA
12109482770,6.6638441,79.9305924,AA-Other,AA
1138325237,6.6098909,79.9516819,AA-Other,AA
50415206,6.5611121,79.968943,AA-Other,AA
9634869050,6.5612844,79.9689011,AA-Other,AA
50422936,6.7974283,79.8885734,AA-Other,AA
2361900649,6.7949889,79.8878711,AA-Other,AA
