node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
50392728,6.045263,80.223014,3,2,B109;B128,B-B,True,True
47817820,6.038247,80.221025,3,1,B128,B-Other,False,True
1242562192,6.042575,80.22282,2,2,B128;B233,B-B,True,False
54399243,6.030794,80.217134,3,1,B37,B-Other,False,True
1795375615,6.663091,79.971999,2,2,B449;B458,B-B,True,False
5182838447,6.034565,80.217041,3,1,B130,B-Other,False,True
13711501216,5.926316,80.588861,2,2,B557;B559,B-B,True,False
13709350341,5.926711,80.589488,2,2,B107;B557,B-B,True,False
6673012482,5.928,80.589358,3,1,B107,B-Other,False,True
603240958,5.921296,80.589679,2,2,B107;B559,B-B,True,False
7087395001,5.964746,80.691731,3,1,B525,B-Other,False,True
3279674224,6.028705,80.794628,3,1,B141,B-Other,False,True
3261661183,6.037412,80.779053,2,2,B141;B626,B-B,True,False
3592199657,6.043185,80.742322,2,2,B141;B628,B-B,True,False
13728195887,6.07294,80.734105,3,2,B54;B627,B-B,True,True
4408220358,5.976885,80.698753,2,2,B101;B525,B-B,True,False
4408220362,5.976982,80.698687,2,2,B101;B525,B-B,True,False
1530689260,5.985209,80.698748,2,2,B101;B595,B-B,True,False
82800337,6.091235,80.193316,2,2,B130;B138,B-B,True,False
2035763052,6.973937,80.767174,3,1,B331,B-Other,False,True
3090460089,6.111394,80.125007,3,1,B106,B-Other,False,True
127659606,6.958552,80.221885,3,1,B408,B-Other,False,True
5294022980,6.045788,80.225187,3,1,B109,B-Other,False,True
130346191,6.070689,80.233835,2,2,B109;B248,B-B,True,False
50760908,6.032977,80.2168,3,1,B130,B-Other,False,True
5182773491,6.03211,80.217288,3,1,B37,B-Other,False,True
138714420,6.031296,80.21709,3,1,B37,B-Other,False,True
191849931,6.97596,80.765525,3,2,B249;B331,B-B,True,True
150994801,6.850263,79.872015,2,2,B11;B94,B-B,True,False
208541425,6.867038,79.884651,4,3,B120;B229;B84,B-B,True,True
6519129900,6.84424,79.925909,3,1,B367,B-Other,False,True
2091781232,6.847501,79.926904,2,2,B335;B504,B-B,True,False
245519575,6.663456,80.0716,2,2,B157;B224,B-B,True,False
247140495,6.930383,80.717922,3,1,B381,B-Other,False,True
