u,v,matched_ref,route_no,road_name,highway,oneway,maxspeed,lanes,name,segment_length_m
31363877,50392728,B128,B128,Galle - Baddegama,primary,False,60,2,Henry Pedris Mawatha (Hirimbura Road),1523.4489777803312
31363877,102750385,B128,B128,Galle - Baddegama,primary,False,60,2,Hirimbura Road,669.2324747488148
33389197,3594319500,B535,B535,Nilwala By pass,trunk,True,60,2,Anagarika Dharmapala Mawatha,17.884022219864704
33389341,1650097484,B524,B524,Beach Road Matara( Matara By Pass),primary,False,60,2,Beach Road,2209.9684485840194
33389417,13711501216,B557,B557,Circular Road - Devinuwara,primary,False,50,2,Circular Road,337.85951912076
33389466,1750306782,B566,B566,Nakulugamuwa Kudawella Moraketiara,primary,False,40,2,Kudawella Road,3820.24517620582
35436490,5120237603,B365,B365,Peradeniya - Halloluwa - Katugastota,primary,False,60,2,Gannoruwa Road,38.7022192248244
41607666,41607686,B251,B251,Lewaya Road,primary,False,60,2,Lewaya Road,3530.7254045888294
41607686,41607666,B251,B251,Lewaya Road,primary,False,60,2,Lewaya Road,3530.7254045888303
41607686,5144316831,B251,B251,Lewaya Road,primary,True,60,2,Lewaya Road,61.69269863291961
44534440,54399243,B37,B037,"Baladaksha Mawatha, Galle",primary,True,30,,Baladaksha Mawatha,25.093634852211796
47811685,50767449,B130,B130,Galle - Wakwella,primary,False,50,2,Wakwella Road,1929.1842109387724
47811685,82800337,B130,B130,Galle - Wakwella,primary,False,50,2,Galle-Wakwella Road,2184.085556640624
47817820,1242562192,B128,B128,Galle - Baddegama,primary,False,60,2,Olcott Mawatha,548.295673854288
47822231,1242562069,B41,B041,"Bandaranaika Mawatha, Galle",primary,False,40,2,Bandaranaike Place (Talapitiya Road),241.6070128812607
47824132,47824157,B128,B128,Galle - Baddegama,primary,True,40,2,Olcott Mawatha,50.34909559378015
47824157,47817820,B128,B128,Galle - Baddegama,primary,True,40,2,Olcott Mawatha,280.33593617807594
49365524,49365945,B44,B044,Bandarawela - Welimada,primary,False,60,2,Bandarawela-Welimada Road,574.5198334042293
49365524,4365280087,B44,B044,Bandarawela - Welimada,primary,True,40,1,Bandarawela-Welimada Road,23.599942283487575
49365945,10682971402,B43,B043,Bandarawela - Uva Hihglands - Ettampitiya,primary,False,60,2,Bandarawela-Ettampitiya Road,984.9239461189167
