route_no,osm_ref,road_name,official_length_km,osm_length_km,diff_km,diff_pct,coverage_flag,n_junctions_total,n_b_b_junctions
B001,B1,Colombo - Kelaniya,12.5,18.885645559289223,6.385645559289223,51.1,⚠️ Over,8,1
B002,B2,Kelaniya - Ja-Ela,18.3,18.431619821846528,0.13161982184652743,0.7,✅ Good,5,1
B003,B3,Ja-Ela - Negombo,22.1,13.273989035218575,-8.826010964781426,-39.9,❌ Under,3,0
B004,B4,Negombo - Kurunegala,58.4,19.396351830754885,-39.00364816924511,-66.8,❌ Under,3,0
B005,B5,Kurunegala - Dambulla,44.7,9.472762235293018,-35.227237764706985,-78.8,❌ Under,3,0
B006,B6,Dambulla - Habarana,28.9,8.783030268547675,-20.116969731452322,-69.6,❌ Under,4,0
B007,B7,Habarana - Polonnaruwa,62.3,33.368475842368724,-28.931524157631273,-46.4,❌ Under,6,0
B008,B8,Polonnaruwa - Batticaloa,85.6,14.665085037496766,-70.93491496250323,-82.9,❌ Under,2,1
B009,B9,Batticaloa - Kalmunai,41.2,14.718750853021342,-26.481249146978662,-64.3,❌ Under,3,1
B010,B10,Kalmunai - Ampara,35.8,41.459602233692884,5.659602233692887,15.8,⚠️ Over,9,0
B011,B11,Ampara - Monaragala,72.4,1.963047222739363,-70.43695277726064,-97.3,❌ Under,3,0
B012,B12,Monaragala - Wellawaya,38.9,7.963354551657086,-30.93664544834291,-79.5,❌ Under,2,0
B013,B13,Wellawaya - Buttala,28.3,8.241626519669285,-20.058373480330715,-70.9,❌ Under,5,0
B014,B14,Buttala - Kataragama,31.7,35.25605256564942,3.55605256564942,11.2,⚠️ Over,14,1
B015,B15,Kataragama - Tissamaharama,27.4,19.149155720499994,-8.250844279500004,-30.1,❌ Under,5,0
B016,B16,Tissamaharama - Hambantota,48.6,5.551057010980803,-43.048942989019196,-88.6,❌ Under,1,0
B017,B17,Hambantota - Tangalle,52.3,10.780836290922194,-41.5191637090778,-79.4,❌ Under,29,0
B018,B18,Tangalle - Matara,44.1,26.883301509145262,-17.21669849085474,-39.0,❌ Under,7,0
B019,B19,Matara - Weligama,18.7,39.032410489401116,20.332410489401116,108.7,⚠️ Over,7,0
B020,B20,Weligama - Galle,22.9,0.5045249331595514,-22.395475066840447,-97.8,❌ Under,2,0
B021,B21,Galle - Hikkaduwa,14.3,6.517378910799065,-7.782621089200935,-54.4,❌ Under,4,0
B022,B22,Hikkaduwa - Ambalangoda,19.8,0.0,-19.8,-100.0,❌ Under,0,0
B023,B23,Ambalangoda - Aluthgama,24.6,0.0,-24.6,-100.0,❌ Under,0,0
B024,B24,Aluthgama - Panadura,31.2,3.8698524480241057,-27.330147551975895,-87.6,❌ Under,6,0
B025,B25,Panadura - Moratuwa,12.8,11.172116371406721,-1.6278836285932794,-12.7,❌ Under,2,0
B026,B26,Moratuwa - Colombo,15.4,1.003633902790051,-14.396366097209949,-93.5,❌ Under,1,0
B027,B27,Kandy - Matale,29.7,1.246539414287002,-28.453460585712996,-95.8,❌ Under,2,0
B028,B28,Matale - Dambulla,38.4,0.0,-38.4,-100.0,❌ Under,0,0
B029,B29,Kandy - Galaha,21.3,0.0,-21.3,-100.0,❌ Under,0,0
B030,B30,Galaha - Nawalapitiya,35.6,0.3813927201989642,-35.218607279801034,-98.9,❌ Under,4,0
B031,B31,Nawalapitiya - Hatton,28.9,5.1881242573567725,-23.711875742643226,-82.0,❌ Under,2,0
B032,B32,Hatton - Nuwara Eliya,42.1,2.004168150575024,-40.095831849424975,-95.2,❌ Under,3,0
B033,B33,Nuwara Eliya - Badulla,55.3,5.691675588326202,-49.60832441167379,-89.7,❌ Under,5,0
B034,B34,Badulla - Bandarawela,18.4,16.212676855482,-2.187323144517997,-11.9,❌ Under,2,0
B035,B35,Bandarawela - Haputale,24.7,59.971417866390624,35.27141786639062,142.8,⚠️ Over,5,0
B036,B36,Haputale - Beragala,31.8,47.70712197303416,15.907121973034162,50.0,⚠️ Over,12,0
B037,B37,Ratnapura - Pelmadulla,22.5,0.5903462715998777,-21.909653728400123,-97.4,❌ Under,9,0
B038,B38,Pelmadulla - Balangoda,35.9,53.88755466606841,17.987554666068412,50.1,⚠️ Over,7,0
B039,B39,Balangoda - Belihuloya,44.2,43.611092767231774,-0.5889072327682285,-1.3,✅ Good,2,0
B040,B40,Belihuloya - Haputale,38.6,3.4381783047450845,-35.161821695254915,-91.1,❌ Under,2,1
B041,B41,Kurunegala - Wariyapola,31.4,1.1052786098825902,-30.29472139011741,-96.5,❌ Under,5,0
B042,B42,Wariyapola - Nikaweratiya,27.8,21.422733412108098,-6.377266587891903,-22.9,❌ Under,2,0
B043,B43,Nikaweratiya - Pannala,22.3,16.224904651460246,-6.0750953485397545,-27.2,❌ Under,3,1
B044,B44,Pannala - Wennappuwa,18.9,20.290780928483162,1.3907809284831636,7.4,✅ Good,6,1
B045,B45,Wennappuwa - Negombo,14.7,38.20739296727666,23.50739296727666,159.9,⚠️ Over,7,0
B046,B46,Anuradhapura - Kekirawa,38.2,4.558116554713442,-33.64188344528656,-88.1,❌ Under,11,0
B047,B47,Kekirawa - Habarana,28.6,14.90704130945894,-13.692958690541062,-47.9,❌ Under,28,0
B048,B48,Anuradhapura - Mihintale,12.4,31.510059258572507,19.110059258572505,154.1,⚠️ Over,1,0
B049,B49,Mihintale - Medawachchiya,33.7,1.7441941162980175,-31.955805883701984,-94.8,❌ Under,4,0
B050,B50,Medawachchiya - Vavuniya,42.5,0.15278468422176225,-42.347215315778236,-99.6,❌ Under,2,0
