u,v,length_m,highway,name,oneway,ref
31363877,50392728,1523.4489777803312,primary,Henry Pedris Mawatha (Hirimbura Road),False,B128
31363877,1139090033,1198.356041448508,secondary,Sri Hemananda Mawatha,False,
31363877,1619271297,1404.4447031004884,secondary,Hirimbura Cross Road,False,
31363877,102750385,669.2324747488148,primary,Hirimbura Road,False,B128
33389197,3594319500,17.884022219864704,trunk,Anagarika Dharmapala Mawatha,True,New-A2/B535
33389255,1640241201,5850.283998049097,secondary,Imaduwa Road,False,
33389255,1233269778,2614.2620851401903,trunk,Matara Road,False,A2
33389255,11542234727,2138.767930048919,trunk,Matara Road,False,A2
33389341,1650097484,2209.9684485840194,primary,Beach Road,False,B524
33389341,250131773,431.2512243866413,trunk,Tangalle Road,False,A2
33389341,33389417,2950.973138555022,trunk,Tangalle Road,False,A2
33389417,13711501216,337.85951912076,primary,Circular Road,False,B557
33389417,13709350352,147.13699273102299,trunk,Tangalle Road,False,A2
33389417,33389341,2950.973138555024,trunk,Tangalle Road,False,A2
33389466,1750306782,3009.2328429374757,trunk,Tangalle Road,False,A2
33389466,1750306782,3820.24517620582,primary,Kudawella Road,False,B566
33389466,250131591,4824.890602888663,trunk,Tangalle Road,False,A2
33389625,41607659,438.2886888530183,primary,Jail Road,False,AB22
33389625,41607659,572.309096439065,trunk,"['Tissa Road', 'Wilmot Street (Main Street)']",False,Old A2
33389625,1814540652,1248.455915607535,trunk,Old Hambantota Road,False,Old A2
35436490,5120237603,38.7022192248244,primary,Gannoruwa Road,False,B365
35436490,258029156,192.31415942434043,trunk,Colombo Road,False,A1
35436490,7094700078,18.0977895661637,trunk,Colombo Road,False,A1
41607659,33389625,438.28868885301836,primary,Jail Road,False,AB22
41607659,33389625,572.309096439065,trunk,"['Tissa Road', 'Wilmot Street (Main Street)']",False,Old A2
41607659,41607666,615.1630472979531,trunk,Tissa Road,False,Old A2
41607666,1720902277,1670.7084208247747,trunk,Tissa Road,False,Old A2
41607666,41607659,615.1630472979531,trunk,Tissa Road,False,Old A2
41607666,41607686,3530.7254045888294,primary,Lewaya Road,False,B251
41607686,41607666,3530.7254045888303,primary,Lewaya Road,False,B251
41607686,5144316831,61.69269863291961,primary,Lewaya Road,True,B251
41607687,3637344649,14.925428489335571,trunk,,True,
44265232,1135398600,676.5113089354929,primary,Wellawaya Bypass Road,False,AB43
