u,v,matched_ref,route_no,road_name,highway,oneway,maxspeed,lanes,name,segment_length_m
33389255,1233269778,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,2614.2620851401903
33389255,11542234727,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,2138.767930048919
33389341,250131773,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,431.2512243866413
33389341,33389417,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,2950.973138555022
33389417,13709350352,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,147.13699273102299
33389417,33389341,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,2950.973138555024
33389466,1750306782,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,3009.2328429374757
33389466,250131591,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tangalle Road,4824.890602888663
35436490,258029156,A1,AA001,Colombo - Kandy,trunk,False,60,2,Colombo Road,192.31415942434043
35436490,7094700078,A1,AA001,Colombo - Kandy,trunk,False,60,2,Colombo Road,18.0977895661637
44265232,2610876638,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,"['Tissa Road', 'Kuda Oya Bridge', 'Hambantota-Wellawaya Road']",24937.559965107946
44265232,44265234,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tissa Road,428.26964759668834
44265234,13739751298,A4,AA004,Colombo - Ratnapura - Wellawaya - Batticaloa,trunk,False,70,2,Wellawaya-Pottuvil Road,7.393315541458427
44265234,1135398600,A4,AA004,Colombo - Ratnapura - Wellawaya - Batticaloa,trunk,False,70,2,Wellawaya-Pottuvil Road,555.8492928618789
44265234,44265232,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,2,Tissa Road,428.26964759668834
44265239,603240642,A23,AA023,Wellawaya - Ella - Kumbalwela,trunk,False,60,2,Major Montegu Jayawickrama Mawatha,408.9181601337827
44265239,6658588595,A23,AA023,Wellawaya - Ella - Kumbalwela,trunk,False,60,2,Wellawaya-Ella-Kumbalwela Road,26697.63694484478
44534497,138713209,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,2,Main Street,36.209397655338385
44534497,44534546,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,60,4,Main Street,30.402935461902736
44534546,44534497,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,60,4,Main Street,30.402935461902732
47822231,8703211017,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,861.0424354610827
47822231,47824936,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,111.43194604167623
47824936,47822231,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,111.43194604167624
49364006,49364356,A23,AA023,Wellawaya - Ella - Kumbalwela,trunk,False,60,2,Wellawaya-Ella-Kumbalwela Road,2805.211052211549
49364006,6658588595,A23,AA023,Wellawaya - Ella - Kumbalwela,trunk,False,60,2,Wellawaya-Ella-Kumbalwela Road,364.4161851258657
49364356,49364006,A23,AA023,Wellawaya - Ella - Kumbalwela,trunk,False,60,2,Wellawaya-Ella-Kumbalwela Road,2805.211052211549
49364356,77512695,A16,AA016,Beragala - Hali-Ela,trunk,False,70,2,Badulla-Bandarawela Road,2283.3246660648438
49364356,2145042656,A16,AA016,Beragala - Hali-Ela,trunk,False,70,2,Badulla-Bandarawela Road,4930.730258955189
49368092,2078611991,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya-Badulla Road,6026.814144400998
49368092,3682574805,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya-Badulla Road,7809.767367089599
49368243,1147075948,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya-Badulla Road,13724.341341810417
49368243,2026114937,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya-Badulla Road,351.41776503154233
49371992,77682693,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,50,2,Queen Elizabeth Drive,608.455498087745
49371992,3584750699,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Kandy Road,552.0827390859297
49378902,3217407684,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya Road,1393.4015711438212
49378902,1834922625,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Nuwara Eliya Road,12237.541873641989
50366409,617823296,A1,AA001,Colombo - Kandy,trunk,False,70,2,Colombo-Kandy Road,4160.765647352335
50366409,324965926,A1,AA001,Colombo - Kandy,trunk,False,70,2,Colombo-Kandy Road,335.9360775890669
50366409,324965995,A1,AA001,Colombo - Kandy,trunk,False,70,2,Colombo-Kandy Road,330.9629780008951
50415021,665685894,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,50,2,Galle Road,196.87949808937424
50415165,12109482770,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,"['60', '50']",4,Galle Road,4154.12525690179
50415165,1138325237,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,60,,Galle Road,2352.628101421247
50415206,9634869050,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,,Galle Road,19.60995242044626
50422936,2361900649,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,3,Galle Road,282.72137840280834
54398901,1781355217,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Galle Road,1065.9441947904702
54398901,7095171150,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Galle Road,3568.449395602604
59947552,6492867596,A17,AA017,Galle - Deniyaya - Madampe,trunk,False,70,2,Akuressa Road,1304.4375188705828
59947552,8703211017,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,546.3724385768845
59947552,309913698,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara Road,188.50371828543953
60654455,1231879141,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,60,"['2', '4']",Matara Road,6118.292848401263
60654455,1675705732,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,60,4,Matara Road,243.06514426080494
60797056,60797372,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,50,2,Galle Road,144.1291780472259
60797372,1249801968,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,50,2,Galle Road,913.2093759407792
60797439,10603977997,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,2,Galle Road,1906.126514105971
60797607,1138325237,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,,Galle Road,199.3106675861649
60797926,3090456359,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,"['70', '50']",2,Galle Road,6431.443333586588
60797926,1781355217,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,"['4', '2']",Galle Road,1673.359310340018
60798009,7085495071,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,3,Galle Road,1092.565359681876
61802472,1431441533,A1,AA001,Colombo - Kandy,trunk,True,60,3,"['Baseline Road', 'Dr. Danister de Silva Mawatha']",634.05652534005
61802550,253022456,A1,AA001,Colombo - Kandy,trunk,True,60,3,New Kelani Bridge Road,36.45854002437077
77368738,3379676395,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,2,Colombo Road,44.060571699630074
77379011,1340667695,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara-Hambantota Road,11499.342150467854
77379011,3960868163,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara-Hambantota Road,19.925510212326756
77379074,3960797189,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,70,2,Matara-Hambantota Road,15.27669336906111
77379074,3960868163,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,False,70,4,Matara-Hambantota Road,496.9723444852068
77381284,4365280299,A16,AA016,Beragala - Hali-Ela,trunk,True,40,1,Beragala-Hali-Ela Road,28.69666258752661
77381284,2026106458,A16,AA016,Beragala - Hali-Ela,trunk,False,60,2,Beragala-Hali-Ela Road,155.92811919812365
77512695,49364356,A16,AA016,Beragala - Hali-Ela,trunk,False,70,2,Badulla-Bandarawela Road,2283.3246660648447
77512695,5018474141,A16,AA016,Beragala - Hali-Ela,trunk,True,70,1,Badulla-Bandarawela Road,126.78346274702972
77682693,2035811429,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,50,2,Queen Elizabeth Drive,202.26184497315472
77682693,49371992,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,50,2,Queen Elizabeth Drive,608.4554980877447
77684317,3390636008,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Badulla Road,138.27039407974019
77684317,3390634865,A5,AA005,Peradeniya - Badulla - Chenkaladi,trunk,False,60,2,Badulla Road,210.6446165839642
77844809,5018474141,A16,AA016,Beragala - Hali-Ela,trunk,False,70,2,Badulla-Bandarawela Road,5444.360603624775
91030247,7153699537,A2,AA002,Colombo - Galle - Hambantota - Wellawaya,trunk,True,60,2,Galle Face Centre Road,202.43382226570338
98554099,98554144,A17,AA017,Galle - Deniyaya - Madampe,trunk,False,70,2,Deniyaya Road,2551.310207965684
98554099,252541774,A17,AA017,Galle - Deniyaya - Madampe,trunk,False,70,2,Deniyaya Road,8438.220214796665
