route_no,osm_ref,road_name,official_length_km,osm_length_km,diff_km,diff_pct,coverage_flag,n_junctions_total,n_aa_aa_junctions
AA000,A0,Kollupitiya - Sri Jayewardenepura,7.12,12.32089639513714,5.20089639513714,73.0,⚠️ Over,74,5
AA001,A1,Colombo - Kandy,115.85,156.76390952002285,40.913909520022855,35.3,⚠️ Over,226,10
AA002,A2,Colombo - Galle - Hambantota - Wellawaya,317.78,334.1009692304713,16.32096923047135,5.1,✅ Good,297,7
AA003,A3,Peliyagoda - Puttalam,126.31,164.7693333805915,38.45933338059149,30.4,⚠️ Over,118,2
AA004,A4,Colombo - Ratnapura - Wellawaya - Batticaloa,430.57,447.32587310133573,16.755873101335737,3.9,✅ Good,283,12
AA005,A5,Peradeniya - Badulla - Chenkaladi,275.64,272.8067656869544,-2.8332343130455797,-1.0,✅ Good,71,9
AA006,A6,Ambepussa - Kurunegala - Trincomalee,198.71,206.03763016394157,7.3276301639415635,3.7,✅ Good,99,15
AA007,A7,Avissawella - Hatton - Nuwara Eliya,118.7,116.12391309966739,-2.576086900332612,-2.2,✅ Good,36,2
AA008,A8,Panadura - Nambapana - Ratnapura,67.77,67.51531049083655,-0.25468950916344113,-0.4,✅ Good,19,3
AA009,A9,Kandy - Jaffna,321.0,329.7252609945897,8.72526099458969,2.7,✅ Good,152,28
AA010,A10,Katugastota - Kurunegala - Puttalam,124.58,125.49923952757051,0.919239527570511,0.7,✅ Good,83,6
AA011,A11,Maradankadawela - Habarana - Tirikkondiadimadu,129.36,128.3825196313346,-0.9774803686654252,-0.8,✅ Good,31,2
AA012,A12,Puttalam - Trincomalee,176.99,172.9649107666588,-4.02508923334122,-2.3,✅ Good,86,8
AA013,A13,Galkulama - Anuradhapura,16.64,16.636579916121025,-0.0034200838789750776,-0.0,✅ Good,24,0
AA014,A14,Medawachchiya - Mannar - Talaimannar,113.84,113.62350406828014,-0.21649593171986226,-0.2,✅ Good,19,1
AA015,A15,Batticaloa - Tirikkondiadimadu - Trincomalee,130.86,134.03045614597497,3.1704561459749527,2.4,✅ Good,61,4
AA016,A16,Beragala - Hali-Ela,40.39,38.395789454974874,-1.9942105450251262,-4.9,✅ Good,18,3
AA017,A17,Galle - Deniyaya - Madampe,143.93,142.28766043608235,-1.642339563917659,-1.1,✅ Good,31,3
AA018,A18,Pelmadulla - Embilipitiya - Nonagama,87.69,84.80207538174527,-2.887924618254729,-3.3,✅ Good,24,2
AA019,A19,Polgahawela - Kegalle,11.67,12.05584490399195,0.38584490399195026,3.3,✅ Good,17,3
AA020,A20,Anuradhapura - Rambewa,14.48,14.846865582400236,0.36686558240023537,2.5,✅ Good,13,2
AA021,A21,Kegalle - Bulathkohupitiya - Karawanella,42.12,41.77322583895468,-0.34677416104531744,-0.8,✅ Good,34,1
AA022,A22,Passara - Moneragala,34.11,33.462509029699035,-0.6474909703009644,-1.9,✅ Good,7,3
AA023,A23,Wellawaya - Ella - Kumbalwela,30.57,30.27618234231598,-0.2938176576840199,-1.0,✅ Good,5,2
AA024,A24,Matara - Akuressa,20.11,24.279695921826143,4.169695921826143,20.7,⚠️ Over,28,1
AA025,A25,Siyambalanduwa - Damana - Ampara,57.12,57.36951615809587,0.24951615809587224,0.4,✅ Good,17,3
AA026,A26,Kandy - Mahiyangana - Padiyatalawa,105.23,102.24951152699914,-2.980488473000861,-2.8,✅ Good,40,2
AA027,A27,Ampara - Uhana - MahaOya,57.92,57.69784232880002,-0.2221576711999802,-0.4,✅ Good,10,1
AA028,A28,Padeniya - Anuradhapura,80.52,80.84009505939864,0.32009505939863914,0.4,✅ Good,34,1
AA029,A29,Vavuniya - Horowopotana,46.02,46.17162791359432,0.15162791359431793,0.3,✅ Good,11,4
AA030,A30,Vavuniya - Parayanalankulam,35.8,35.69103118133851,-0.10896881866148789,-0.3,✅ Good,7,3
AA031,A31,Karativu - Ampara,24.14,24.106423508886134,-0.03357649111386607,-0.1,✅ Good,33,3
AA032,A32,Navakkuli - Kerativu - Mannar,98.37,104.6031765046709,6.233176504670894,6.3,✅ Good,16,4
AA033,A33,Ja-Ela - Ekala - Gampaha - Yakkala,17.02,21.000352087049603,3.980352087049603,23.4,⚠️ Over,48,4
AA034,A34,Mankulam - Mullaitivu,49.25,47.50322877144373,-1.7467712285562698,-3.5,✅ Good,9,2
AA035,A35,Paranthan - Kachchai - Mullaitivu,52.13,53.54389852907794,1.4138985290779402,2.7,✅ Good,19,5
