junction_id,latitude,longitude,reachable_nodes,average_distance,maximum_distance
258029156,7.264124,80.592942,82,140274.96,314046.49
44265234,6.732073,81.101954,82,209387.17,431234.99
603240642,6.731658,81.099805,82,209347.84,431170.53
49364356,6.873478,81.031248,82,193040.02,400894.35
59947552,6.032158,80.239635,82,260522.57,466262.51
3390634865,6.960735,80.769262,82,178970.67,381503.19
98554769,6.090296,80.476194,82,270249.15,496240.62
5693657962,7.293033,80.637749,82,139775.62,309164.11
310860950,6.685328,80.396078,82,186146.42,407871.77
8014319683,8.127337,80.562747,82,138743.77,316084.68
603240427,6.763807,80.913127,82,200065.15,425806.75
617967952,7.241352,80.211272,82,144711.99,327584.42
7087535778,7.241308,80.211446,82,144710.48,327582.26
617968149,7.250859,80.332131,82,141762.75,324204.93
634172980,9.129259,80.446796,82,208451.97,432485.98
665214512,6.911433,79.849602,82,176438.13,351028.76
665214513,6.91178,79.850089,82,176375.12,350956.6
4136824664,9.662059,80.081689,82,278887.11,512200.7
7599684152,7.885072,80.651668,82,130659.42,287165.02
6537569534,8.5817,81.189168,82,183055.19,387711.09
4136824665,9.662098,80.081465,82,278914.41,512229.04
3174892783,7.335389,80.300183,82,139601.0,312451.88
1239489717,7.335436,80.300262,82,139600.88,312441.63
1242694031,8.587214,81.206514,82,183963.41,390083.01
4139418521,8.587268,81.206204,82,183936.26,390048.27
2155580115,7.080854,79.890786,82,167351.01,328904.69
6524681177,6.911894,79.856566,82,175880.75,350408.65
5217538839,9.262575,80.811265,82,232834.83,459782.7
7042347620,9.43655,80.407655,82,236497.09,467242.86
13743364556,7.784987,81.591193,82,206718.26,344597.35
1684534515,7.292745,81.687055,82,232680.5,410316.55
11715824040,7.292754,81.687002,82,232677.59,410310.66
1809805397,6.854211,81.338475,82,206731.37,409061.53
1728838958,8.761376,80.498631,82,173501.23,387313.25
7085505934,8.761249,80.498768,82,173486.36,387292.68
1732642149,8.749919,80.183496,82,192147.05,403472.74
1886079221,8.441616,80.506476,82,152417.72,350060.31
1735981103,9.436373,80.407658,82,236479.79,467223.27
7042347632,9.436304,80.407659,82,236473.24,467215.61
1740742111,8.550102,80.832647,82,168149.05,373821.94
1750869639,6.534034,80.593143,82,206471.12,440353.86
1783974992,7.383205,81.228194,82,175624.45,349195.86
10016226413,7.383154,81.228134,82,175618.36,349187.65
1945675344,6.854383,81.338564,82,206731.05,409053.29
1797964180,6.953222,80.212372,82,164334.74,368714.54
4959610635,7.54591,81.377528,82,187878.0,351076.4
1985676681,6.113641,80.991506,82,259830.59,512229.04
13749558430,8.441418,80.506412,82,152408.76,350044.72
4212767857,7.785088,81.591057,82,206705.68,344578.62
3527283166,6.939648,81.175411,82,200486.93,403620.25
1981147403,7.88513,80.651621,82,130656.47,287158.5
2011981296,6.955391,81.031488,82,188235.85,387463.22
5372968715,6.933767,79.846893,82,175144.68,348595.09
3794035028,7.252924,80.343195,82,141845.26,324377.24
3849049820,7.081141,79.890842,82,167336.15,328872.33
2339297860,6.712438,79.907538,82,190985.32,373937.62
2339297862,6.712324,79.907542,82,190994.97,373950.16
6289622879,7.874077,80.651088,82,130418.0,285832.18
3088508709,7.322305,80.624861,82,138800.89,304861.76
3088508720,7.322347,80.624795,82,138799.15,304853.52
3136385191,6.934009,79.846439,82,175168.9,348613.74
3237363036,8.759459,80.499991,82,173315.42,387046.45
3237363045,8.75946,80.50015,82,173319.67,387051.69
4137095171,8.759301,80.500075,82,173306.26,387032.2
3474422106,9.662146,80.08162,82,278898.92,512212.97
4136824662,9.661981,80.081524,82,278900.53,512214.59
4137349478,8.320851,80.381474,82,150293.44,328932.37
6537569535,8.581856,81.18929,82,183060.93,387732.89
4963408994,7.085983,80.033362,82,158955.91,342342.99
9513937138,7.487109,80.365072,82,134691.09,293634.87
4944055508,7.487073,80.364967,82,134695.89,293651.44
4944055634,7.487134,80.364992,82,134694.66,293644.13
4963408992,7.086046,80.033431,82,158950.84,342345.32
6524681176,6.911925,79.855848,82,175938.31,350474.09
9628046175,6.911911,79.856155,82,175909.64,350440.04
7042347623,9.436156,80.407662,82,236459.73,467199.25
8014319682,8.127311,80.562666,82,138744.96,316084.75
8032417737,8.358495,80.511664,82,148616.3,344321.35
8032417743,8.358426,80.511792,82,148626.26,344333.68
8032417746,8.358516,80.511777,82,148625.33,344335.84
8032417740,8.358395,80.511704,82,148619.81,344322.57
9568699375,7.487044,80.365047,82,134692.34,293642.54
11715824035,7.292818,81.687044,82,232676.68,410308.55
