node_id,latitude,longitude,street_count,n_aa_roads,aa_roads,junction_type,is_aa_aa_junction,is_aa_any_junction
33389341,5.942888,80.568388,3,1,A2,AA-Other,False,True
250131773,5.945222,80.565417,3,1,A2,AA-Other,False,True
33389417,5.928262,80.587898,3,1,A2,AA-Other,False,True
13709350352,5.928169,80.589219,3,1,A2,AA-Other,False,True
33389466,5.984559,80.724883,3,1,A2,AA-Other,False,True
1750306782,5.999459,80.740972,3,1,A2,AA-Other,False,True
250131591,5.964551,80.694546,3,1,A2,AA-Other,False,True
35436490,7.265772,80.592541,3,1,A1,AA-Other,False,True
258029156,7.264124,80.592942,3,2,A1;A5,AA-AA,True,True
7094700078,7.265819,80.592385,3,1,A1,AA-Other,False,True
44265232,6.728308,81.102857,4,1,A2,AA-Other,False,True
610955288,6.434991,81.130872,3,1,A2,AA-Other,False,True
44265234,6.732073,81.101954,3,2,A2;A4,AA-AA,True,True
1135398600,6.732854,81.106916,3,1,A4,AA-Other,False,True
603240642,6.731658,81.099805,4,1,A4,AA-Other,False,True
44534497,6.032754,80.217485,3,1,A2,AA-Other,False,True
138713209,6.032452,80.217359,3,1,A2,AA-Other,False,True
44534546,6.032962,80.217665,3,1,A2,AA-Other,False,True
47822231,6.037348,80.228239,3,1,A2,AA-Other,False,True
8703211017,6.034104,80.235252,3,1,A2,AA-Other,False,True
47824936,6.03757,80.227257,3,1,A2,AA-Other,False,True
49368243,6.906296,80.914051,3,1,A5,AA-Other,False,True
1147075948,6.93709,80.990966,3,1,A5,AA-Other,False,True
2078611991,6.905778,80.909744,3,1,A5,AA-Other,False,True
49371992,6.976945,80.762255,3,1,A5,AA-Other,False,True
77682693,6.973199,80.765422,3,1,A5,AA-Other,False,True
3584750699,6.979142,80.758368,3,1,A5,AA-Other,False,True
49378902,7.134396,80.597819,3,1,A5,AA-Other,False,True
3217407684,7.132264,80.588592,3,1,A5,AA-Other,False,True
1834922625,7.0968,80.645875,3,1,A5,AA-Other,False,True
50366409,7.146537,80.097002,3,1,A1,AA-Other,False,True
617823296,7.168521,80.12413,4,1,A1,AA-Other,False,True
324965926,7.143901,80.095598,4,1,A1,AA-Other,False,True
324965995,7.143891,80.095669,4,1,A1,AA-Other,False,True
50415021,6.72506,79.906574,3,1,A2,AA-Other,False,True
665685894,6.726415,79.905424,3,1,A2,AA-Other,False,True
50415165,6.629178,79.943101,3,1,A2,AA-Other,False,True
12109482770,6.663844,79.930592,3,1,A2,AA-Other,False,True
1138325237,6.609891,79.951682,3,1,A2,AA-Other,False,True
50415206,6.561112,79.968943,3,1,A2,AA-Other,False,True
9634869050,6.561284,79.968901,3,1,A2,AA-Other,False,True
50422936,6.797428,79.888573,4,1,A2,AA-Other,False,True
2361900649,6.794989,79.887871,3,1,A2,AA-Other,False,True
59947552,6.032158,80.239635,3,2,A17;A2,AA-AA,True,True
6492867596,6.037767,80.249368,3,1,A17,AA-Other,False,True
309913698,6.030876,80.240754,3,1,A2,AA-Other,False,True
60797056,6.86242,79.863849,4,1,A2,AA-Other,False,True
60797372,6.861148,79.864128,3,1,A2,AA-Other,False,True
60797439,6.847521,79.866065,4,1,A2,AA-Other,False,True
10603977997,6.830512,79.867838,4,1,A2,AA-Other,False,True
60797607,6.608353,79.952617,3,1,A2,AA-Other,False,True
60797926,6.071555,80.163101,3,1,A2,AA-Other,False,True
3090460074,6.111107,80.124813,3,1,A2,AA-Other,False,True
1781355217,6.063348,80.1755,3,1,A2,AA-Other,False,True
60798009,6.812814,79.880774,3,1,A2,AA-Other,False,True
7085495071,6.819486,79.873616,3,1,A2,AA-Other,False,True
61802472,6.943806,79.878178,4,1,A1,AA-Other,False,True
1431441533,6.949523,79.878457,3,1,A1,AA-Other,False,True
61802550,6.950346,79.878467,6,1,A1,AA-Other,False,True
253022456,6.950641,79.878606,3,1,A1,AA-Other,False,True
77368738,6.032655,80.216831,3,1,A2,AA-Other,False,True
3379676395,6.032557,80.217201,3,1,A2,AA-Other,False,True
77379011,6.032906,80.796545,3,1,A2,AA-Other,False,True
1340667695,6.097108,80.875941,3,1,A2,AA-Other,False,True
3960868163,6.032746,80.79646,3,1,A2,AA-Other,False,True
77379074,6.02867,80.794891,3,1,A2,AA-Other,False,True
3960797189,6.028537,80.794853,3,1,A2,AA-Other,False,True
2035811429,6.971921,80.766708,3,1,A5,AA-Other,False,True
77684317,6.959873,80.770946,3,1,A5,AA-Other,False,True
3390636008,6.959213,80.771989,3,1,A5,AA-Other,False,True
3390634865,6.960735,80.769262,3,2,A5;A7,AA-AA,True,True
91030247,6.931298,79.84231,3,1,A2,AA-Other,False,True
7153699537,6.929543,79.842754,4,1,A2,AA-Other,False,True
98554099,6.035714,80.389067,3,1,A17,AA-Other,False,True
98554144,6.042467,80.410069,3,1,A17,AA-Other,False,True
2434214580,6.037616,80.304472,3,1,A17,AA-Other,False,True
98554769,6.090296,80.476194,3,2,A17;A24,AA-AA,True,True
2164965693,6.091127,80.476524,3,1,A17,AA-Other,False,True
